placer,width,height,fan_out,distance_sd,runtime,placed_net_length,manual_net_length,placed_total_entries,manual_total_entries,placed_max_entries,manual_max_entries
sa,16,16,4,3.0,0.172744989395,918,984,894,967,64,78
hilbert,16,16,4,3.0,0.00542593002319,1211,1028,1138,1005,87,86
rcm,16,16,4,3.0,0.00574707984924,1270,1000,1185,977,105,74
rand,16,16,4,3.0,0.00308609008789,1341,1001,1269,975,93,79
sa,24,24,4,3.0,0.542308092117,2232,2352,2108,2252,72,80
hilbert,24,24,4,3.0,0.0117259025574,3649,2337,2969,2237,109,76
rcm,24,24,4,3.0,0.0127317905426,3814,2323,3170,2220,151,76
rand,24,24,4,3.0,0.012090921402,4220,2316,3406,2220,119,76
sa,32,32,4,3.0,1.21458911896,4207,4243,3786,4043,74,77
hilbert,32,32,4,3.0,0.0201690196991,7533,4185,5498,4009,121,76
rcm,32,32,4,3.0,0.0208389759064,8494,4151,6186,3956,163,74
rand,32,32,4,3.0,0.0225551128387,9658,4176,6681,3988,125,81
sa,384,384,4,3.0,2498.03803992,841317,614685,594976,585154,96,90
hilbert,48,48,4,3.0,0.0477468967438,22693,9538,13435,9108,133,80
sa,48,48,4,3.0,3.99782299995,9759,9422,8514,8990,79,82
rcm,48,48,4,3.0,0.0436449050903,26801,9501,15481,9034,184,86
rand,48,48,4,3.0,0.0486080646515,31413,9492,16880,9043,154,86
hilbert,64,64,4,3.0,0.0736610889435,44467,16935,23795,16180,134,78
rcm,64,64,4,3.0,0.0806651115417,60069,17079,29085,16249,198,75
rand,64,64,4,3.0,0.0877411365509,73444,16852,31981,16061,163,78
sa,64,64,4,3.0,9.1038980484,15447,17028,14647,16208,76,81
hilbert,96,96,4,3.0,0.190754175186,133109,38205,55797,36374,142,79
rcm,96,96,4,3.0,0.195389986038,195958,38327,69614,36512,215,79
rand,96,96,4,3.0,0.254153013229,242762,38380,76963,36509,188,87
sa,96,96,4,3.0,29.5246191025,42302,38248,34855,36399,87,79
hilbert,128,128,4,3.0,0.306729078293,276485,67853,101022,64698,157,84
rcm,128,128,4,3.0,0.345156908035,457455,68120,129036,64973,226,86
rand,128,128,4,3.0,0.516407012939,572080,68305,142205,65013,209,83
sa,128,128,4,3.0,66.7360010147,78850,67924,62775,64648,95,81
hilbert,192,192,4,3.0,0.785402059555,777451,153642,230021,146205,150,86
rcm,512,512,4,3.0,6.82768106461,32407182,1093196,2174545,1040761,403,86
rcm,192,192,4,3.0,0.830130815506,1522053,153390,299539,145997,280,82
rand,192,192,4,3.0,2.30785989761,1924821,153947,328197,146481,226,82
hilbert,256,256,4,3.0,1.37963986397,1547168,273364,408963,260148,180,86
rcm,512,512,4,3.0,6.78558492661,32406961,1094704,2177356,1041580,398,84
rcm,256,256,4,3.0,1.53165817261,3725696,272901,537584,259818,311,87
sa,192,192,4,3.0,243.122523069,185847,153609,144157,146141,91,82
rand,256,256,4,3.0,5.1117310524,4800004,272902,579167,259911,202,84
hilbert,384,384,4,3.0,3.23782491684,4290715,614848,910464,585160,178,85
sa,512,512,4,3.0,5935.92174101,1518164,1094812,1059597,1041554,102,85
sa,512,512,4,3.0,5936.50405717,1704091,1094735,1085150,1041253,105,89
rcm,384,384,4,3.0,3.52539086342,13282315,615329,1219217,585828,383,86
sa,512,512,4,3.0,6123.5738318,1603571,1095026,1061822,1041811,105,91
sa,512,512,4,3.0,5950.97951317,1646406,1094184,1070633,1041422,107,85
sa,512,512,4,3.0,5923.80717301,1561834,1094936,1061870,1041633,108,88
hilbert,512,512,4,3.0,5.91476798058,8468310,1094608,1619371,1041399,174,89
sa,9,9,4,3.0,0.030177116394,220,274,220,274,49,58
hilbert,9,9,4,3.0,0.00175786018372,246,282,246,282,55,54
rcm,9,9,4,3.0,0.00207614898682,265,274,265,274,65,54
rand,9,9,4,3.0,0.000955104827881,316,281,316,281,49,57
sa,12,12,4,3.0,0.0795929431915,440,499,440,499,57,72
hilbert,12,12,4,3.0,0.00387597084045,519,495,519,495,69,64
rcm,12,12,4,3.0,0.00317692756653,540,511,540,511,89,70
rand,12,12,4,3.0,0.001788854599,564,509,564,509,81,67
sa,16,16,4,3.0,0.196480989456,935,999,907,973,70,77
hilbert,16,16,4,3.0,0.00511598587036,1189,1006,1125,974,86,71
rcm,16,16,4,3.0,0.00572299957275,1232,999,1186,984,96,67
rand,16,16,4,3.0,0.00318694114685,1305,992,1245,964,87,73
sa,24,24,4,3.0,0.573006868362,2212,2326,2069,2240,69,76
hilbert,24,24,4,3.0,0.0118300914764,3549,2331,2925,2231,100,75
rcm,24,24,4,3.0,0.0122990608215,3857,2366,3194,2267,128,74
rand,24,24,4,3.0,0.0123369693756,4151,2304,3386,2215,109,75
sa,32,32,4,3.0,1.22432780266,4126,4141,3732,3957,74,75
hilbert,32,32,4,3.0,0.0195369720459,7545,4216,5575,4010,107,78
rcm,32,32,4,3.0,0.0214688777924,8489,4228,6221,4049,180,80
rand,384,384,4,3.0,28.1490819454,17518563,615039,1292008,585417,189,88
rand,32,32,4,3.0,0.0213620662689,9656,4232,6765,4017,131,74
hilbert,48,48,4,3.0,0.0480020046234,23258,9460,13610,9033,136,81
rcm,48,48,4,3.0,0.043692111969,26531,9489,15507,9056,212,75
rand,48,48,4,3.0,0.0476539134979,31543,9441,17098,9005,152,81
sa,48,48,4,3.0,3.99099993706,9818,9472,8484,9044,79,80
hilbert,64,64,4,3.0,0.0741848945618,45485,17004,23927,16221,139,79
rcm,64,64,4,3.0,0.0812048912048,60873,16876,29391,16094,196,79
rand,64,64,4,3.0,0.091010093689,73380,16949,32018,16198,164,83
sa,64,64,4,3.0,9.16682696342,17050,16967,15160,16140,91,83
sa,256,256,4,3.0,678.758218765,352788,273001,260031,259783,101,85
hilbert,96,96,4,3.0,0.190540075302,140976,38465,57278,36586,156,83
rcm,96,96,4,3.0,0.197360992432,195433,38514,69775,36602,219,82
rand,96,96,4,3.0,0.256414175034,243259,38316,77192,36491,188,81
hilbert,128,128,4,3.0,0.310427188873,277533,68097,101177,64893,150,83
sa,96,96,4,3.0,29.6234538555,42587,38030,34964,36251,87,81
rcm,128,128,4,3.0,0.34415102005,456838,68236,129147,65002,238,81
rand,128,128,4,3.0,0.514091968536,570356,67870,141949,64608,198,85
hilbert,192,192,4,3.0,0.783726930618,774663,153553,229605,146030,166,82
sa,128,128,4,3.0,66.3938140869,63064,68093,59129,64771,77,82
rcm,192,192,4,3.0,0.821785926819,1520350,153442,299580,146167,281,91
sa,512,512,4,3.0,5932.18247795,1680869,1094326,1081236,1041272,107,91
rand,192,192,4,3.0,2.25462508202,1925093,153937,328399,146401,232,83
hilbert,256,256,4,3.0,1.36602210999,1518472,273206,406827,260134,176,86
rcm,256,256,4,3.0,1.5341091156,3726957,273091,537945,259739,317,85
rand,256,256,4,3.0,5.09049701691,4801859,273024,579839,259816,223,84
sa,192,192,4,3.0,241.280910969,190862,153377,144373,146110,101,80
sa,512,512,4,3.0,5923.8481648,1559586,1093775,1068974,1040913,105,87
hilbert,384,384,4,3.0,3.23325395584,4302747,615678,911071,585859,184,88
sa,384,384,4,3.0,2480.18444991,895530,615416,593895,585567,108,86
rcm,384,384,4,3.0,3.57554388046,13285565,614969,1219721,585141,348,87
sa,512,512,4,3.0,5943.01777101,1644612,1094075,1081870,1041226,106,87
hilbert,512,512,4,3.0,5.96594190598,8578404,1094557,1625484,1041646,176,86
rand,384,384,4,3.0,27.8972110748,17503064,615450,1291775,585647,186,87
sa,256,256,4,3.0,680.538879156,325693,273507,256802,260343,95,84
sa,9,9,4,3.0,0.0323758125305,219,263,219,263,52,58
hilbert,9,9,4,3.0,0.00175905227661,249,283,249,283,59,60
rcm,9,9,4,3.0,0.00208282470703,259,278,259,278,58,58
rand,9,9,4,3.0,0.000977993011475,327,269,327,269,55,55
sa,12,12,4,3.0,0.0821537971497,464,507,464,507,60,72
hilbert,12,12,4,3.0,0.00399017333984,509,517,509,517,70,65
rcm,12,12,4,3.0,0.00328898429871,542,510,542,510,84,63
rand,12,12,4,3.0,0.00180506706238,565,499,565,499,79,66
sa,16,16,4,3.0,0.192627191544,937,1002,911,968,69,78
hilbert,16,16,4,3.0,0.00539803504944,1188,995,1121,972,85,68
rcm,16,16,4,3.0,0.00594592094421,1250,995,1189,978,101,81
rand,16,16,4,3.0,0.00320982933044,1335,1011,1268,988,100,76
sa,24,24,4,3.0,0.538091897964,2239,2379,2112,2268,68,80
hilbert,24,24,4,3.0,0.0121080875397,3558,2411,2927,2293,102,77
rcm,24,24,4,3.0,0.0126750469208,3770,2354,3147,2251,137,76
rand,24,24,4,3.0,0.0119540691376,4183,2318,3378,2223,113,73
sa,32,32,4,3.0,1.22675609589,4116,4160,3708,3977,77,77
hilbert,32,32,4,3.0,0.0207121372223,7562,4138,5526,3952,112,77
rcm,32,32,4,3.0,0.0208160877228,8574,4167,6159,3980,162,76
rand,32,32,4,3.0,0.0213210582733,9691,4141,6760,3963,125,81
sa,48,48,4,3.0,3.94175887108,9846,9485,8563,9067,84,82
hilbert,48,48,4,3.0,0.042799949646,22763,9554,13257,9092,117,78
rcm,48,48,4,3.0,0.0448620319366,26825,9462,15572,9037,184,78
rand,48,48,4,3.0,0.0476648807526,31408,9444,16973,9027,159,82
sa,64,64,4,3.0,9.10201716423,17135,16939,15140,16150,87,82
hilbert,64,64,4,3.0,0.0753099918365,47141,16959,24331,16122,145,81
rcm,64,64,4,3.0,0.0798509120941,60316,16951,29166,16173,185,80
rand,64,64,4,3.0,0.088397026062,73267,16996,32077,16207,160,79
sa,96,96,4,3.0,29.5535728931,43534,38281,35492,36506,85,78
hilbert,96,96,4,3.0,0.19002199173,135246,38387,55733,36562,143,83
rcm,96,96,4,3.0,0.197836875916,195187,38242,69745,36398,223,81
rand,96,96,4,3.0,0.251157045364,243278,38312,77087,36453,189,82
sa,128,128,4,3.0,67.5497760773,81875,67981,63471,64858,91,87
hilbert,128,128,4,3.0,0.305992126465,272357,68121,100363,64816,155,86
rcm,128,128,4,3.0,0.345084905624,457712,68151,129149,64859,266,84
rand,128,128,4,3.0,0.521703004837,568703,67910,141910,64684,198,82
rcm,512,512,4,3.0,6.76376104355,32435601,1093828,2176723,1040997,389,89
hilbert,192,192,4,3.0,0.779607057571,758994,153824,228441,146382,163,87
rcm,192,192,4,3.0,0.828320980072,1521169,153422,299503,145994,271,84
rand,192,192,4,3.0,2.28733992577,1927661,153679,327967,146349,226,83
sa,192,192,4,3.0,242.213487148,173372,153502,139089,146208,98,84
hilbert,256,256,4,3.0,1.36830306053,1506457,273459,405501,260053,158,82
sa,512,512,4,3.0,5949.66224599,1606801,1094513,1080936,1041557,105,90
rcm,256,256,4,3.0,1.5094640255,3726107,272872,538195,259769,293,84
rand,256,256,4,3.0,5.25116682053,4810041,273320,579898,260179,202,86
hilbert,384,384,4,3.0,3.25212907791,4305473,614523,914625,584708,178,88
rcm,384,384,4,3.0,3.58384609222,13261542,614500,1218856,584945,348,85
sa,256,256,4,3.0,676.449416876,341818,273392,259276,260311,103,87
sa,384,384,4,3.0,2499.78533006,868593,615364,600973,585616,108,86
hilbert,512,512,4,3.0,5.91461801529,8485863,1093767,1623402,1041111,178,85
rand,384,384,4,3.0,28.6067399979,17515107,614909,1292427,585479,186,85
sa,512,512,4,3.0,5922.04921913,1852140,1094059,1098920,1040759,108,89
sa,384,384,4,3.0,2500.81214595,865262,614764,593041,585137,114,86
rcm,512,512,4,3.0,6.73352503777,32406209,1094017,2177480,1041070,388,87
sa,9,9,4,3.0,0.0386691093445,224,266,224,266,50,57
hilbert,9,9,4,3.0,0.00290703773499,232,267,232,267,56,60
rcm,9,9,4,3.0,0.00200510025024,248,269,248,269,60,57
rand,9,9,4,3.0,0.000990867614746,330,279,330,279,60,61
sa,12,12,4,3.0,0.0853481292725,434,489,434,489,60,68
hilbert,12,12,4,3.0,0.00376200675964,516,497,516,497,69,63
rcm,12,12,4,3.0,0.00332903862,542,521,542,521,84,68
rand,12,12,4,3.0,0.00168180465698,575,519,575,519,77,64
sa,16,16,4,3.0,0.185040950775,946,995,910,976,71,79
hilbert,16,16,4,3.0,0.00487804412842,1194,1016,1137,981,82,75
rcm,16,16,4,3.0,0.00562000274658,1260,1011,1203,990,99,70
rand,16,16,4,3.0,0.00321578979492,1317,980,1248,967,97,71
sa,24,24,4,3.0,0.543277978897,2177,2376,2051,2281,74,73
hilbert,24,24,4,3.0,0.0122458934784,3626,2307,2962,2222,116,76
rcm,24,24,4,3.0,0.0122771263123,3835,2366,3168,2260,156,75
rand,24,24,4,3.0,0.0120420455933,4174,2390,3389,2281,118,78
sa,32,32,4,3.0,1.31801104546,4158,4158,3772,3982,77,78
hilbert,32,32,4,3.0,0.0190050601959,7238,4159,5391,3998,110,75
rcm,32,32,4,3.0,0.0210938453674,8477,4208,6156,3993,164,77
rand,32,32,4,3.0,0.0211160182953,9653,4252,6757,4046,129,81
sa,48,48,4,3.0,4.00837516785,9923,9596,8565,9118,84,80
hilbert,48,48,4,3.0,0.0419209003448,22019,9468,12970,9031,124,76
rcm,48,48,4,3.0,0.044606924057,26721,9520,15503,9093,176,79
rand,48,48,4,3.0,0.0482668876648,31530,9393,16885,8965,155,80
sa,64,64,4,3.0,9.22233581543,18021,16827,15375,16029,85,79
hilbert,64,64,4,3.0,0.0763890743256,47888,16889,24584,16101,139,83
rcm,64,64,4,3.0,0.0819311141968,60521,16926,29109,16164,217,80
rand,64,64,4,3.0,0.0897839069366,73152,16931,32143,16126,170,78
sa,96,96,4,3.0,29.4428160191,35085,38476,33187,36635,76,81
hilbert,96,96,4,3.0,0.190293073654,138402,38113,56343,36228,152,83
rcm,96,96,4,3.0,0.197345972061,196242,38269,69974,36444,243,80
rand,96,96,4,3.0,0.258808135986,242727,38460,76866,36527,188,82
sa,128,128,4,3.0,67.3608629704,81290,68346,64345,65033,102,86
hilbert,128,128,4,3.0,0.310925006866,275778,68103,100416,64848,164,83
rcm,128,128,4,3.0,0.347580909729,455542,68174,129367,65003,275,82
rand,128,128,4,3.0,0.529976844788,569204,68059,141880,64848,198,83
sa,384,384,4,3.0,2501.402174,819390,615593,587444,585719,105,86
hilbert,192,192,4,3.0,0.79071688652,778199,153635,230762,146268,172,83
rcm,192,192,4,3.0,0.829245090485,1521709,153600,299764,146251,260,83
rand,192,192,4,3.0,2.30635714531,1925894,153478,328137,146270,224,84
sa,192,192,4,3.0,239.465594053,194771,153456,144451,146085,94,83
hilbert,256,256,4,3.0,1.38827419281,1564568,272868,409157,259978,170,89
rcm,256,256,4,3.0,1.51959514618,3729709,273547,538831,260448,309,86
rand,256,256,4,3.0,5.08016204834,4803840,273483,579339,260257,215,85
sa,256,256,4,3.0,676.391476154,341519,273368,257513,260156,98,86
rcm,512,512,4,3.0,6.78055000305,32414504,1094792,2177728,1041927,424,86
sa,512,512,4,3.0,5968.20425081,1668357,1094261,1078870,1041397,105,84
hilbert,384,384,4,3.0,3.2531940937,4296325,614379,911678,584726,175,86
rcm,384,384,4,3.0,3.53887104988,13259127,615125,1219491,585368,349,85
rand,384,384,4,3.0,28.4391350746,17508154,615866,1292269,586097,193,87
hilbert,512,512,4,3.0,5.95616388321,8648444,1093996,1630801,1040843,189,85
rcm,512,512,4,3.0,6.77009987831,32458156,1094634,2178448,1041954,421,86
sa,512,512,4,3.0,5942.40008593,1724982,1093400,1081359,1040375,108,86
rcm,512,512,4,3.0,6.76009893417,32393663,1094186,2176701,1041586,418,86
sa,9,9,4,3.0,0.038074016571,215,271,215,271,53,58
hilbert,9,9,4,3.0,0.00310897827148,252,275,252,275,54,55
rcm,9,9,4,3.0,0.00201416015625,266,267,266,267,63,54
rand,9,9,4,3.0,0.00173115730286,325,274,325,274,55,56
sa,12,12,4,3.0,0.0826408863068,447,514,447,514,59,65
hilbert,12,12,4,3.0,0.00385284423828,516,510,516,510,71,65
rcm,12,12,4,3.0,0.00320100784302,559,522,559,522,80,68
rand,12,12,4,3.0,0.00188398361206,569,495,569,495,70,66
sa,16,16,4,3.0,0.195562839508,925,1000,899,977,66,77
hilbert,16,16,4,3.0,0.00525903701782,1172,994,1119,968,85,71
rcm,16,16,4,3.0,0.00583410263062,1248,1003,1192,978,109,68
rand,16,16,4,3.0,0.00307679176331,1337,1007,1273,983,92,71
sa,24,24,4,3.0,0.540297031403,2129,2321,2037,2221,71,76
hilbert,24,24,4,3.0,0.0119438171387,3554,2386,2913,2271,107,78
rcm,24,24,4,3.0,0.0125868320465,3821,2368,3190,2266,143,75
rand,24,24,4,3.0,0.0116469860077,4108,2331,3305,2228,124,78
sa,32,32,4,3.0,1.21849799156,4062,4158,3687,3987,72,85
hilbert,32,32,4,3.0,0.0194709300995,7541,4191,5538,3992,129,73
rcm,32,32,4,3.0,0.0211198329926,8531,4230,6159,3997,161,76
rand,32,32,4,3.0,0.0220518112183,9591,4254,6714,4051,134,78
sa,48,48,4,3.0,3.93196296692,8674,9475,8228,9018,78,80
hilbert,48,48,4,3.0,0.0426919460297,22825,9460,13403,9026,129,79
rcm,48,48,4,3.0,0.043624162674,26708,9528,15595,9094,187,76
rand,48,48,4,3.0,0.0481309890747,31532,9491,16935,9045,153,77
sa,64,64,4,3.0,9.27930688858,18060,16906,15217,16133,85,79
hilbert,64,64,4,3.0,0.0748059749603,48131,16992,24558,16173,135,79
rcm,64,64,4,3.0,0.0801610946655,60927,17088,29345,16227,205,85
rand,64,64,4,3.0,0.0895709991455,73220,17013,31920,16200,163,78
sa,512,512,4,3.0,5930.28198099,1783295,1094334,1091146,1041143,113,87
hilbert,96,96,4,3.0,0.19030213356,137002,38336,56508,36569,155,78
rcm,96,96,4,3.0,0.195590019226,196072,38357,69958,36500,237,81
rand,96,96,4,3.0,0.252772808075,242724,38386,76875,36558,185,87
sa,96,96,4,3.0,29.6105771065,34643,38193,32873,36416,73,84
hilbert,128,128,4,3.0,0.310775995255,275652,68115,101192,64912,165,81
rcm,128,128,4,3.0,0.345587968826,456283,68251,129114,64901,232,83
rand,128,128,4,3.0,0.522065877914,569596,68048,141713,64750,216,81
sa,128,128,4,3.0,66.8413341045,76946,68294,61976,64999,93,84
hilbert,192,192,4,3.0,0.778355836868,770989,153288,229015,146067,163,83
rcm,192,192,4,3.0,0.83541893959,1516938,153479,299542,146077,282,86
rand,192,192,4,3.0,2.22828102112,1927666,153624,328472,146263,237,86
sa,192,192,4,3.0,242.04131794,198611,153249,144699,145972,95,83
hilbert,256,256,4,3.0,1.38177990913,1523773,273030,405378,259796,169,84
rcm,256,256,4,3.0,1.51981496811,3730435,273067,537747,259954,289,84
rand,256,256,4,3.0,4.99848604202,4807426,273595,579462,260118,205,83
sa,384,384,4,3.0,2509.29361701,828227,614855,594786,585113,102,85
hilbert,384,384,4,3.0,3.23897814751,4343510,615464,914953,585593,176,85
sa,256,256,4,3.0,679.658266068,348017,273577,257214,260335,103,87
rcm,384,384,4,3.0,3.55758404732,13280408,615053,1219430,585331,349,89
rand,384,384,4,3.0,28.4055819511,17506182,616132,1292208,586291,185,87
hilbert,512,512,4,3.0,5.91959881783,8467940,1093243,1621830,1040329,176,85
sa,512,512,4,3.0,6006.63747811,1688300,1093794,1092905,1041039,106,88
sa,384,384,4,3.0,2505.70692706,847432,615040,596747,585280,114,86
rcm,512,512,4,3.0,6.72922205925,32412108,1093643,2178125,1041064,406,86
sa,512,512,4,3.0,5928.99032879,1562520,1093995,1074032,1041117,111,85
sa,9,9,4,3.0,0.0298628807068,215,270,215,270,48,60
hilbert,9,9,4,3.0,0.00181984901428,256,268,256,268,58,55
rcm,9,9,4,3.0,0.00208306312561,273,275,273,275,62,60
rand,9,9,4,3.0,0.000955104827881,313,279,313,279,42,55
sa,12,12,4,3.0,0.0825958251953,432,499,432,499,53,70
hilbert,12,12,4,3.0,0.00386619567871,529,514,529,514,73,71
rcm,12,12,4,3.0,0.00333786010742,534,516,534,516,82,70
rand,12,12,4,3.0,0.00173592567444,568,515,568,515,78,62
sa,16,16,4,3.0,0.181209087372,931,963,907,947,67,69
hilbert,16,16,4,3.0,0.00524306297302,1161,1000,1104,970,80,73
rcm,16,16,4,3.0,0.0059130191803,1241,996,1168,978,102,82
rand,16,16,4,3.0,0.00317788124084,1319,982,1254,961,93,78
sa,24,24,4,3.0,0.536322832108,2192,2340,2086,2240,75,73
hilbert,24,24,4,3.0,0.0131800174713,3484,2352,2886,2245,111,77
rcm,24,24,4,3.0,0.0131618976593,3836,2275,3201,2173,132,74
rand,24,24,4,3.0,0.0116629600525,4231,2371,3438,2262,111,74
sa,32,32,4,3.0,1.21302700043,3869,4214,3670,4026,72,79
hilbert,32,32,4,3.0,0.0195732116699,7615,4169,5548,3955,110,82
rcm,32,32,4,3.0,0.0214951038361,8693,4184,6278,3988,171,81
rand,32,32,4,3.0,0.0217859745026,9485,4164,6673,3969,132,77
sa,48,48,4,3.0,3.89315414429,9132,9460,8336,9033,75,78
hilbert,48,48,4,3.0,0.0425770282745,23037,9591,13339,9140,126,78
rcm,48,48,4,3.0,0.0442280769348,26910,9467,15598,9062,186,86
rand,48,48,4,3.0,0.0480670928955,31388,9455,16855,9031,151,79
sa,64,64,4,3.0,9.05661296844,15516,16934,14755,16135,73,77
hilbert,64,64,4,3.0,0.0739078521729,44880,16851,23802,16076,139,78
rcm,64,64,4,3.0,0.0800940990448,60635,16840,29057,16003,194,79
rand,64,64,4,3.0,0.0891239643097,73335,16914,31964,16116,178,78
sa,96,96,4,3.0,29.5889630318,42201,38212,34663,36476,86,82
hilbert,96,96,4,3.0,0.191013097763,135110,38321,55385,36493,149,79
rcm,96,96,4,3.0,0.19647693634,195585,38153,69729,36293,228,81
rand,96,96,4,3.0,0.252137184143,242632,38172,76807,36358,190,80
sa,128,128,4,3.0,67.3836140633,69407,68240,60516,64929,83,83
hilbert,128,128,4,3.0,0.308355808258,277160,67922,100863,64729,170,80
rcm,128,128,4,3.0,0.343420028687,456949,68247,129109,64991,272,82
rand,128,128,4,3.0,0.514754056931,568551,67995,141924,64711,206,84
sa,192,192,4,3.0,239.162883997,191353,153758,143899,146405,95,83
hilbert,192,192,4,3.0,0.781213998795,790655,153516,231351,146331,162,85
rcm,192,192,4,3.0,0.835477113724,1519856,153466,299583,146081,292,85
rand,192,192,4,3.0,2.32145190239,1926027,153493,328380,145970,225,82
sa,256,256,4,3.0,678.733022928,360205,273508,260258,260214,96,84
hilbert,256,256,4,3.0,1.37348604202,1531083,272992,405717,259719,162,89
rcm,256,256,4,3.0,1.52079486847,3731437,272866,538446,259915,316,83
rand,256,256,4,3.0,5.0926618576,4808934,273192,579005,260034,207,87
rcm,512,512,4,3.0,6.7433450222,32387509,1094233,2177384,1041079,419,86
hilbert,384,384,4,3.0,3.22048902512,4335539,615492,913429,585585,174,84
rcm,384,384,4,3.0,3.59081792831,13269751,615315,1220021,585847,364,84
sa,512,512,4,3.0,5954.92856002,1601466,1093821,1081057,1040841,100,88
sa,768,768,4,3.0,19665.4646449,4526003,2463413,2527887,2343956,118,88
sa,768,768,4,3.0,19703.0583699,4331812,2462790,2498366,2343374,117,89
rand,384,384,4,3.0,29.0506548882,17523850,615797,1291929,585962,191,86
sa,768,768,4,3.0,19755.7637849,4146854,2461768,2481124,2342194,108,89
sa,768,768,4,3.0,19693.802479,4074834,2462997,2464378,2343738,104,90
hilbert,512,512,4,3.0,5.92741203308,8409082,1093961,1617518,1041078,178,88
sa,9,9,4,3.0,0.0323112010956,223,268,223,268,50,55
hilbert,9,9,4,3.0,0.0016770362854,240,285,240,285,55,58
rcm,9,9,4,3.0,0.00206708908081,267,272,267,272,63,59
rand,9,9,4,3.0,0.000985860824585,307,279,307,279,62,58
sa,12,12,4,3.0,0.0868210792542,439,499,439,499,54,68
hilbert,12,12,4,3.0,0.00399303436279,510,511,510,511,69,66
rcm,12,12,4,3.0,0.00318789482117,545,520,545,520,90,63
rand,12,12,4,3.0,0.00181579589844,571,509,571,509,72,72
sa,16,16,4,3.0,0.1761469841,929,967,901,952,73,71
hilbert,16,16,4,3.0,0.00522899627686,1184,975,1126,959,82,74
rcm,16,16,4,3.0,0.00576686859131,1263,1026,1193,999,103,75
rand,16,16,4,3.0,0.00320601463318,1331,997,1248,981,88,71
sa,24,24,4,3.0,0.580738067627,2314,2399,2127,2288,71,78
hilbert,24,24,4,3.0,0.0122799873352,3568,2348,2966,2231,104,85
rcm,24,24,4,3.0,0.0123500823975,3828,2349,3185,2247,144,75
rand,24,24,4,3.0,0.0120890140533,4122,2372,3338,2289,111,75
sa,32,32,4,3.0,1.20338916779,3867,4188,3658,4004,73,80
hilbert,32,32,4,3.0,0.0195569992065,7743,4189,5559,4002,119,81
rcm,32,32,4,3.0,0.0215299129486,8606,4185,6224,3985,161,82
rand,32,32,4,3.0,0.0217781066895,9616,4193,6710,3990,129,77
sa,48,48,4,3.0,3.9873919487,9793,9450,8518,8985,84,84
hilbert,48,48,4,3.0,0.0436148643494,22245,9467,13196,9025,123,76
rcm,48,48,4,3.0,0.0450620651245,26351,9425,15348,8997,182,82
rand,48,48,4,3.0,0.0475378036499,31444,9543,16902,9099,153,79
sa,64,64,4,3.0,9.18701505661,18130,16921,15378,16133,86,79
hilbert,64,64,4,3.0,0.0732719898224,46042,16933,24021,16119,133,79
rcm,64,64,4,3.0,0.0796310901642,60924,17041,29142,16183,204,78
rand,64,64,4,3.0,0.0878880023956,73138,17019,31904,16183,170,81
sa,96,96,4,3.0,29.2821688652,42717,38304,34989,36513,90,78
hilbert,96,96,4,3.0,0.188954114914,141199,38147,56264,36386,145,81
sa,768,768,4,3.0,20006.632211,4285929,2463458,2493804,2344357,112,89
rcm,96,96,4,3.0,0.200174808502,196094,38342,69979,36501,212,82
sa,768,768,4,3.0,19667.1119449,4526658,2463786,2543192,2344417,117,89
rand,96,96,4,3.0,0.253716945648,242895,38229,76888,36372,183,81
hilbert,128,128,4,3.0,0.31151509285,277882,68154,100456,64889,149,81
rcm,128,128,4,3.0,0.342839956284,455454,68017,128514,64742,241,82
rand,128,128,4,3.0,0.510062932968,569638,67850,141790,64584,202,80
hilbert,192,192,4,3.0,0.784512996674,763138,153229,227227,146026,164,86
sa,128,128,4,3.0,68.0520069599,78975,68162,62546,64915,95,82
rcm,192,192,4,3.0,0.827102899551,1518627,153755,298713,146316,300,83
rand,192,192,4,3.0,2.25376391411,1925830,153284,328060,145846,227,81
hilbert,256,256,4,3.0,1.36988997459,1562117,273349,408681,260238,159,87
sa,768,768,4,3.0,19681.2276309,4314354,2462792,2520005,2343476,110,87
rcm,256,256,4,3.0,1.52054905891,3731905,273398,538422,260191,293,82
sa,192,192,4,3.0,240.447893143,192500,153318,144788,146013,95,86
sa,768,768,4,3.0,20298.8586941,4269708,2462275,2490557,2343504,105,87
rand,256,256,4,3.0,5.03480005264,4804552,273206,579031,259943,210,90
hilbert,384,384,4,3.0,3.2582051754,4265086,615056,909523,585083,190,84
rcm,384,384,4,3.0,3.55960798264,13283036,615672,1218996,585873,387,84
rand,384,384,4,3.0,28.7735440731,17511635,615544,1292503,585771,193,86
sa,256,256,4,3.0,677.013370037,359917,272895,260246,259828,97,85
hilbert,512,512,4,3.0,6.02574515343,8429815,1094445,1618590,1041728,181,88
sa,768,768,4,3.0,19709.3277569,4433708,2463740,2503294,2344242,115,93
sa,768,768,4,3.0,20075.1039538,4363046,2462859,2521822,2343296,111,92
hilbert,32,32,4,3.0,0.0293209552765,7805,4203,5689,4012,119,83
sa,9,9,4,3.0,0.0275208950043,224,279,224,279,53,56
sa,12,12,4,3.0,0.0745489597321,464,522,464,522,60,69
rand,192,192,4,3.0,2.32267403603,1925939,153644,327997,146187,231,84
sa,24,24,4,3.0,0.531580924988,2129,2330,2013,2227,71,82
sa,384,384,4,3.0,2520.40350795,898683,614291,601883,585059,111,87
