"","experiment","fault_model","dist","postprocess","dest","faults","router","num_samples","resource","resource_stdev","resource_min","resource_max","entries","entries_stdev","entries_min","entries_max","useX","useX_stdev","useX_min","useX_max","useY","useY_stdev","useY_min","useY_max","useD","useD_stdev","useD_min","useD_max","disconne","disconne_stdev","disconne_min","disconne_max","exectime","exectime_stdev","exectime_min","exectime_max","post_exectime","post_exectime_stdev","post_exectime_min","post_exectime_max","exectime_ci","post_exectime_ci","disconne_ci","resource_ci","entries_ci"
"20","baseline","spinn_link","cent3","DIJKSTRA",16,39,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","baseline","spinn_link","cent3","DIJKSTRA",16,78,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","baseline","spinn_link","cent3","DIJKSTRA",16,78,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","baseline","spinn_link","cent3","DIJKSTRA",16,78,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","baseline","spinn_link","cent3","DIJKSTRA",16,78,"smart",10000,143.4284,626.066960288594,0,338,21.2154,17.1402930488367,0,33,47.3105,375.136388224336,0,217,47.9206,379.812158441512,0,230,47.0525,378.993410756704,0,216,0,0,0,0,19.9694,83.0799117535641,0,53,0.7058,29.7725882851995,0,69,1.36654294174658,0.489715498246433,0,10.2978851034518,0.281932731883902
"25","baseline","spinn_link","cent3","DIJKSTRA",16,78,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","baseline","spinn_link","cent3","DIJKSTRA",16,157,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","baseline","spinn_link","cent3","DIJKSTRA",16,157,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","baseline","spinn_link","cent3","DIJKSTRA",16,157,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","baseline","spinn_link","cent3","DIJKSTRA",16,157,"smart",10000,144.9044,627.543788586103,0,346,21.4134,19.2950763372421,0,34,48.1225,376.917854078312,0,230,48.8735,385.760037465002,0,210,47.5323,377.121117667786,0,209,0,0,0,0,20.0606,82.765091440353,0,73,1.3136,37.412430573407,0,36,1.36136460840635,0.615379721217386,0,10.3221767672672,0.317375762956182
"30","baseline","spinn_link","cent3","DIJKSTRA",16,157,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","baseline","spinn_link","cent3","DIJKSTRA",16,314,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","baseline","spinn_link","cent3","DIJKSTRA",16,314,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","baseline","spinn_link","cent3","DIJKSTRA",16,314,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","baseline","spinn_link","cent3","DIJKSTRA",16,314,"smart",10000,143.1901,629.907711625282,0,344,21.6803,22.7972052197194,0,36,47.4627,378.520777207804,0,211,49.1217,384.640182681165,0,219,47.5139,379.798858380327,0,218,0,0,0,0,19.839,83.1316042254088,0,50,2.4225,49.6363738981808,0,42,1.36739320724458,0.81644569635142,0,10.3610598411155,0.374980656900124
"35","baseline","spinn_link","cent3","DIJKSTRA",16,314,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","baseline","spinn_link","cent3","DIJKSTRA",16,609,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","baseline","spinn_link","cent3","DIJKSTRA",16,609,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
